country,pop1_2020,pop2_2020,pop1_2021,pop2_2021,pop1_2022,pop2_2022,pop1_2023,pop2_2023,pop1_2024,pop2_2024
Bangladesh,Spanish,French,English,Spanish,English,Korean,English,Korean,English,Korean
Bhutan,Korean,Japanese,Korean,Japanese,Korean,Japanese,Japanese,Korean,Japanese,Korean
Brunei,Korean,Japanese,Japanese,Korean,Korean,Japanese,Japanese,Korean,Japanese,Chinese
Indonesia,English,Korean,English,Korean,English,Japanese,English,Japanese,English,Japanese
Japan,English,Japanese,English,Korean,English,Korean,English,Korean,English,Korean
Kiribati,Spanish,French,Spanish,Korean,Spanish,Chinese,Spanish,Japanese,English,Spanish
Malaysia,Korean,Japanese,Japanese,Korean,Japanese,Korean,Japanese,English,English,Japanese
Mongolia,English,Korean,Korean,English,Korean,English,Korean,English,English,Korean
Myanmar,Japanese,Chinese,Japanese,Korean,Japanese,Korean,Japanese,Chinese,English,Japanese
Nepal,English,Spanish,English,Spanish,English,Japanese,English,Korean,English,Japanese
Pakistan,English,Spanish,English,Turkish,English,Korean,English,Arabic,English,Arabic
Philippines,Korean,Spanish,Japanese,Korean,Korean,Japanese,Japanese,Korean,Japanese,English
South Korea,English,Korean,English,Korean,English,Korean,English,Korean,English,Japanese
Thailand,English,Spanish,English,Japanese,English,Korean,English,Japanese,English,Japanese
