,country,kdrama_geo_squidgame2
0,Madagascar,100.0
1,Bhutan,0.0
2,Guyana,0.0
3,Fiji,0.0
4,Nigeria,43.0
5,Cuba,38.0
6,Philippines,36.0
7,Haiti,0.0
8,Nicaragua,25.0
9,Myanmar (Burma),22.0
10,Nepal,21.0
11,Benin,0.0
12,Cambodia,18.0
13,Bangladesh,17.0
14,Zambia,17.0
15,Venezuela,16.0
16,Pakistan,16.0
17,Paraguay,16.0
18,Trinidad & Tobago,0.0
19,El Salvador,15.0
20,Malawi,0.0
21,Rwanda,0.0
22,Bolivia,13.0
23,Mauritius,0.0
24,Jamaica,0.0
25,Tunisia,13.0
26,Mexico,13.0
27,Guatemala,13.0
28,Peru,12.0
29,Ecuador,12.0
30,India,12.0
31,Azerbaijan,11.0
32,Cameroon,0.0
33,St Helena,0.0
34,Honduras,11.0
35,Morocco,11.0
36,Côte d’Ivoire,11.0
37,Panama,11.0
38,Ethiopia,0.0
39,Laos,0.0
40,Afghanistan,0.0
41,Ghana,9.0
42,Türkiye,9.0
43,Costa Rica,9.0
44,Senegal,0.0
45,Chile,9.0
46,Luxembourg,0.0
47,Colombia,8.0
48,Uzbekistan,8.0
49,Iraq,8.0
50,Singapore,8.0
51,Malaysia,8.0
52,Georgia,8.0
53,Dominican Republic,8.0
54,Algeria,7.0
55,France,6.0
56,Kenya,6.0
57,Indonesia,6.0
58,Czechia,6.0
59,Qatar,0.0
60,Angola,0.0
61,United Arab Emirates,5.0
62,Sweden,5.0
63,Argentina,5.0
64,Uruguay,0.0
65,Italy,5.0
66,Uganda,0.0
67,South Africa,5.0
68,Romania,5.0
69,Sri Lanka,5.0
70,Oman,0.0
71,Greece,5.0
72,Belgium,5.0
73,Norway,5.0
74,Moldova,0.0
75,Portugal,5.0
76,Denmark,4.0
77,Switzerland,4.0
78,Puerto Rico,0.0
79,Finland,4.0
80,Kuwait,0.0
81,Poland,4.0
82,New Zealand,4.0
83,Slovakia,4.0
