,country,learn_korean_geo_squidgame1
0,Bhutan,0.0
1,Myanmar (Burma),100.0
2,Belize,0.0
3,Philippines,82.0
4,Fiji,0.0
5,Maldives,0.0
6,Botswana,0.0
7,Sri Lanka,51.0
8,Nepal,49.0
9,Singapore,49.0
10,Mauritius,47.0
11,Jamaica,44.0
12,Mongolia,44.0
13,Malaysia,38.0
14,Trinidad & Tobago,36.0
15,Cambodia,30.0
16,Ethiopia,29.0
17,Brunei,0.0
18,India,25.0
19,South Korea,23.0
20,Bangladesh,23.0
21,Bahrain,0.0
22,Qatar,20.0
23,Zimbabwe,0.0
24,Pakistan,19.0
25,United Arab Emirates,18.0
26,New Zealand,18.0
27,North Macedonia,0.0
28,South Africa,16.0
29,Nigeria,16.0
30,Oman,16.0
31,Lebanon,15.0
32,Uganda,0.0
33,Morocco,15.0
34,Australia,13.0
35,United States,13.0
36,Canada,13.0
37,Tunisia,12.0
38,Kuwait,12.0
39,Georgia,12.0
40,Armenia,0.0
41,China,0.0
42,Hong Kong,12.0
43,Kenya,11.0
44,United Kingdom,10.0
45,Albania,0.0
46,Ireland,10.0
47,Puerto Rico,0.0
48,Estonia,0.0
49,Lithuania,9.0
50,Norway,9.0
51,Latvia,0.0
52,Libya,0.0
53,Iraq,8.0
54,Algeria,8.0
55,Denmark,7.0
56,Romania,7.0
57,Egypt,7.0
58,Slovakia,7.0
59,Syria,0.0
60,Ghana,0.0
61,Slovenia,0.0
62,Sweden,6.0
63,Greece,6.0
64,Saudi Arabia,6.0
65,Portugal,6.0
66,Honduras,0.0
67,Uzbekistan,0.0
68,Bulgaria,6.0
69,Azerbaijan,0.0
70,Finland,5.0
71,Moldova,0.0
72,Jordan,0.0
73,Indonesia,5.0
74,Belgium,5.0
75,Netherlands,5.0
76,Croatia,0.0
77,Bosnia & Herzegovina,0.0
78,Czechia,4.0
79,Hungary,4.0
80,Vietnam,4.0
81,Costa Rica,0.0
82,Switzerland,3.0
83,Peru,3.0
84,Serbia,0.0
85,Dominican Republic,0.0
86,Thailand,3.0
87,Israel,3.0
88,Mexico,3.0
89,Austria,3.0
90,Ecuador,0.0
91,Germany,2.0
92,Iran,2.0
93,Poland,2.0
94,Chile,2.0
95,France,2.0
96,Japan,2.0
97,Colombia,2.0
98,Kazakhstan,0.0
99,Italy,2.0
100,Spain,1.0
101,Taiwan,1.0
102,Türkiye,1.0
103,Brazil,1.0
104,Venezuela,0.0
105,Argentina,0.5
106,Ukraine,0.5
107,Russia,0.5
108,Laos,0.0
109,Aruba,0.0
110,British Indian Ocean Territory,0.0
111,Isle of Man,0.0
112,Haiti,0.0
113,Jersey,0.0
114,Heard & McDonald Islands,0.0
115,Guyana,0.0
116,Guam,0.0
117,French Guiana,0.0
118,Kyrgyzstan,0.0
119,Guatemala,0.0
120,Kiribati,0.0
121,St Kitts & Nevis,0.0
122,Greenland,0.0
123,Grenada,0.0
124,Equatorial Guinea,0.0
125,Guinea-Bissau,0.0
126,Angola,0.0
127,Gambia,0.0
128,St Lucia,0.0
129,Liechtenstein,0.0
130,Guadeloupe,0.0
131,Lesotho,0.0
132,Guinea,0.0
133,Luxembourg,0.0
134,Gibraltar,0.0
135,Macao,0.0
136,St Martin,0.0
137,Guernsey,0.0
138,Monaco,0.0
139,Gabon,0.0
140,Madagascar,0.0
141,Micronesia,0.0
142,Faroe Islands,0.0
