week,learn_korean_squidgame1
2020-12-27,95
2021-01-03,89
2021-01-10,95
2021-01-17,100
2021-01-24,90
2021-01-31,86
2021-02-07,80
2021-02-14,93
2021-02-21,85
2021-02-28,88
2021-03-07,78
2021-03-14,79
2021-03-21,83
2021-03-28,81
2021-04-04,84
2021-04-11,86
2021-04-18,91
2021-04-25,95
2021-05-02,89
2021-05-09,90
2021-05-16,87
2021-05-23,92
2021-05-30,94
2021-06-06,97
2021-06-13,97
2021-06-20,89
2021-06-27,91
2021-07-04,85
2021-07-11,88
2021-07-18,88
2021-07-25,83
2021-08-01,82
2021-08-08,89
2021-08-15,76
2021-08-22,78
2021-08-29,78
2021-09-05,75
2021-09-12,71
2021-09-19,73
2021-09-26,75
2021-10-03,94
2021-10-10,90
2021-10-17,73
2021-10-24,73
2021-10-31,76
2021-11-07,69
2021-11-14,73
2021-11-21,74
2021-11-28,71
2021-12-05,72
2021-12-12,76
2021-12-19,70
2021-12-26,84
