Category: All categories

Week,k-drama: (Worldwide)
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,7
2020-11-29,6
2020-12-06,7
2020-12-13,9
2020-12-20,10
2020-12-27,10
2021-01-03,10
2021-01-10,11
2021-01-17,10
2021-01-24,10
2021-01-31,11
2021-02-07,10
2021-02-14,10
2021-02-21,10
2021-02-28,9
2021-03-07,8
2021-03-14,10
2021-03-21,8
2021-03-28,10
2021-04-04,8
2021-04-11,9
2021-04-18,10
2021-04-25,10
2021-05-02,9
2021-05-09,9
2021-05-16,10
2021-05-23,12
2021-05-30,13
2021-06-06,10
2021-06-13,10
2021-06-20,11
2021-06-27,10
2021-07-04,10
2021-07-11,10
2021-07-18,10
2021-07-25,10
2021-08-01,9
2021-08-08,10
2021-08-15,10
2021-08-22,8
2021-08-29,9
2021-09-05,9
2021-09-12,10
2021-09-19,10
2021-09-26,13
2021-10-03,12
2021-10-10,11
2021-10-17,13
2021-10-24,11
2021-10-31,10
2021-11-07,9
2021-11-14,10
2021-11-21,10
2021-11-28,9
2021-12-05,10
2021-12-12,10
2021-12-19,12
2021-12-26,11
2022-01-02,14
2022-01-09,11
2022-01-16,11
2022-01-23,12
2022-01-30,13
2022-02-06,13
2022-02-13,12
2022-02-20,12
2022-02-27,13
2022-03-06,12
2022-03-13,13
2022-03-20,13
2022-03-27,12
2022-04-03,12
2022-04-10,14
2022-04-17,14
2022-04-24,13
2022-05-01,13
2022-05-08,13
2022-05-15,12
2022-05-22,11
2022-05-29,12
2022-06-05,13
2022-06-12,13
2022-06-19,14
2022-06-26,13
2022-07-03,15
2022-07-10,15
2022-07-17,13
2022-07-24,14
2022-07-31,14
2022-08-07,15
2022-08-14,14
2022-08-21,13
2022-08-28,14
2022-09-04,12
2022-09-11,12
2022-09-18,11
2022-09-25,13
2022-10-02,12
2022-10-09,12
2022-10-16,12
2022-10-23,12
2022-10-30,12
2022-11-06,12
2022-11-13,13
2022-11-20,11
2022-11-27,11
2022-12-04,13
2022-12-11,13
2022-12-18,13
2022-12-25,15
2023-01-01,17
2023-01-08,15
2023-01-15,16
2023-01-22,15
2023-01-29,14
2023-02-05,13
2023-02-12,14
2023-02-19,14
2023-02-26,13
2023-03-05,14
2023-03-12,13
2023-03-19,13
2023-03-26,14
2023-04-02,14
2023-04-09,14
2023-04-16,15
2023-04-23,15
2023-04-30,13
2023-05-07,14
2023-05-14,13
2023-05-21,15
2023-05-28,14
2023-06-04,14
2023-06-11,13
2023-06-18,16
2023-06-25,16
2023-07-02,17
2023-07-09,15
2023-07-16,15
2023-07-23,16
2023-07-30,15
2023-08-06,15
2023-08-13,16
2023-08-20,16
2023-08-27,15
2023-09-03,14
2023-09-10,12
2023-09-17,13
2023-09-24,15
2023-10-01,14
2023-10-08,13
2023-10-15,14
2023-10-22,13
2023-10-29,14
2023-11-05,13
2023-11-12,14
2023-11-19,15
2023-11-26,17
2023-12-03,18
2023-12-10,19
2023-12-17,19
2023-12-24,23
2023-12-31,23
2024-01-07,19
2024-01-14,20
2024-01-21,20
2024-01-28,20
2024-02-04,17
2024-02-11,17
2024-02-18,16
2024-02-25,16
2024-03-03,16
2024-03-10,16
2024-03-17,16
2024-03-24,18
2024-03-31,18
2024-04-07,18
2024-04-14,17
2024-04-21,18
2024-04-28,18
2024-05-05,18
2024-05-12,18
2024-05-19,18
2024-05-26,20
2024-06-02,20
2024-06-09,22
2024-06-16,21
2024-06-23,20
2024-06-30,20
2024-07-07,19
2024-07-14,22
2024-07-21,20
2024-07-28,20
2024-08-04,20
2024-08-11,29
2024-08-18,29
2024-08-25,28
2024-09-01,24
2024-09-08,24
2024-09-15,24
2024-09-22,23
2024-09-29,23
2024-10-06,25
2024-10-13,23
2024-10-20,25
2024-10-27,24
2024-11-03,25
2024-11-10,25
2024-11-17,24
2024-11-24,26
2024-12-01,26
2024-12-08,25
2024-12-15,23
2024-12-22,29
2024-12-29,36
2025-01-05,33
2025-01-12,31
2025-01-19,34
2025-01-26,35
2025-02-02,29
2025-02-09,29
2025-02-16,31
2025-02-23,30
2025-03-02,27
2025-03-09,30
2025-03-16,32
2025-03-23,29
2025-03-30,33
2025-04-06,31
2025-04-13,33
2025-04-20,32
2025-04-27,35
2025-05-04,35
2025-05-11,33
2025-05-18,32
2025-05-25,35
2025-06-01,34
2025-06-08,34
2025-06-15,38
2025-06-22,41
2025-06-29,46
2025-07-06,50
2025-07-13,58
2025-07-20,72
2025-07-27,89
2025-08-03,83
2025-08-10,95
2025-08-17,100
2025-08-24,81
2025-08-31,93
2025-09-07,92
2025-09-14,90
2025-09-21,93
2025-09-28,92
2025-10-05,79
2025-10-12,75
2025-10-19,37
2025-10-26,37
