Category: All categories

Week,Korean drama: (Worldwide)
2020-11-01,64
2020-11-08,67
2020-11-15,67
2020-11-22,68
2020-11-29,65
2020-12-06,73
2020-12-13,85
2020-12-20,86
2020-12-27,91
2021-01-03,94
2021-01-10,90
2021-01-17,79
2021-01-24,81
2021-01-31,80
2021-02-07,76
2021-02-14,82
2021-02-21,75
2021-02-28,72
2021-03-07,72
2021-03-14,72
2021-03-21,69
2021-03-28,73
2021-04-04,72
2021-04-11,70
2021-04-18,70
2021-04-25,70
2021-05-02,75
2021-05-09,79
2021-05-16,78
2021-05-23,81
2021-05-30,83
2021-06-06,78
2021-06-13,83
2021-06-20,84
2021-06-27,83
2021-07-04,78
2021-07-11,80
2021-07-18,79
2021-07-25,75
2021-08-01,75
2021-08-08,77
2021-08-15,72
2021-08-22,70
2021-08-29,74
2021-09-05,69
2021-09-12,71
2021-09-19,73
2021-09-26,76
2021-10-03,71
2021-10-10,70
2021-10-17,74
2021-10-24,67
2021-10-31,70
2021-11-07,76
2021-11-14,70
2021-11-21,68
2021-11-28,63
2021-12-05,65
2021-12-12,68
2021-12-19,70
2021-12-26,73
2022-01-02,72
2022-01-09,69
2022-01-16,63
2022-01-23,66
2022-01-30,73
2022-02-06,69
2022-02-13,70
2022-02-20,68
2022-02-27,73
2022-03-06,75
2022-03-13,80
2022-03-20,79
2022-03-27,69
2022-04-03,74
2022-04-10,76
2022-04-17,70
2022-04-24,77
2022-05-01,73
2022-05-08,67
2022-05-15,68
2022-05-22,72
2022-05-29,68
2022-06-05,68
2022-06-12,71
2022-06-19,76
2022-06-26,77
2022-07-03,75
2022-07-10,69
2022-07-17,72
2022-07-24,70
2022-07-31,71
2022-08-07,70
2022-08-14,70
2022-08-21,66
2022-08-28,65
2022-09-04,64
2022-09-11,62
2022-09-18,65
2022-09-25,67
2022-10-02,66
2022-10-09,70
2022-10-16,61
2022-10-23,64
2022-10-30,65
2022-11-06,60
2022-11-13,60
2022-11-20,65
2022-11-27,56
2022-12-04,59
2022-12-11,65
2022-12-18,66
2022-12-25,80
2023-01-01,87
2023-01-08,75
2023-01-15,76
2023-01-22,74
2023-01-29,68
2023-02-05,62
2023-02-12,68
2023-02-19,74
2023-02-26,68
2023-03-05,66
2023-03-12,65
2023-03-19,65
2023-03-26,62
2023-04-02,69
2023-04-09,66
2023-04-16,65
2023-04-23,68
2023-04-30,67
2023-05-07,58
2023-05-14,65
2023-05-21,60
2023-05-28,61
2023-06-04,62
2023-06-11,69
2023-06-18,70
2023-06-25,78
2023-07-02,87
2023-07-09,77
2023-07-16,71
2023-07-23,69
2023-07-30,68
2023-08-06,73
2023-08-13,76
2023-08-20,74
2023-08-27,68
2023-09-03,65
2023-09-10,61
2023-09-17,63
2023-09-24,59
2023-10-01,57
2023-10-08,60
2023-10-15,63
2023-10-22,66
2023-10-29,60
2023-11-05,63
2023-11-12,71
2023-11-19,68
2023-11-26,66
2023-12-03,64
2023-12-10,63
2023-12-17,69
2023-12-24,75
2023-12-31,78
2024-01-07,67
2024-01-14,66
2024-01-21,67
2024-01-28,75
2024-02-04,80
2024-02-11,69
2024-02-18,62
2024-02-25,62
2024-03-03,66
2024-03-10,69
2024-03-17,66
2024-03-24,64
2024-03-31,56
2024-04-07,55
2024-04-14,58
2024-04-21,52
2024-04-28,59
2024-05-05,58
2024-05-12,55
2024-05-19,57
2024-05-26,60
2024-06-02,63
2024-06-09,70
2024-06-16,63
2024-06-23,62
2024-06-30,61
2024-07-07,65
2024-07-14,66
2024-07-21,66
2024-07-28,60
2024-08-04,56
2024-08-11,63
2024-08-18,67
2024-08-25,64
2024-09-01,57
2024-09-08,55
2024-09-15,52
2024-09-22,51
2024-09-29,49
2024-10-06,51
2024-10-13,52
2024-10-20,51
2024-10-27,50
2024-11-03,50
2024-11-10,54
2024-11-17,53
2024-11-24,56
2024-12-01,59
2024-12-08,57
2024-12-15,54
2024-12-22,66
2024-12-29,73
2025-01-05,71
2025-01-12,66
2025-01-19,67
2025-01-26,69
2025-02-02,63
2025-02-09,62
2025-02-16,67
2025-02-23,61
2025-03-02,57
2025-03-09,56
2025-03-16,56
2025-03-23,51
2025-03-30,54
2025-04-06,55
2025-04-13,53
2025-04-20,54
2025-04-27,55
2025-05-04,52
2025-05-11,55
2025-05-18,54
2025-05-25,58
2025-06-01,61
2025-06-08,61
2025-06-15,62
2025-06-22,66
2025-06-29,72
2025-07-06,79
2025-07-13,100
2025-07-20,88
2025-07-27,86
2025-08-03,74
2025-08-10,73
2025-08-17,72
2025-08-24,71
2025-08-31,74
2025-09-07,71
2025-09-14,75
2025-09-21,72
2025-09-28,67
2025-10-05,63
2025-10-12,63
2025-10-19,55
2025-10-26,54
