Category: All categories

Country,k-drama: (01/11/2020 - 01/11/2025)
Mayotte,
Madagascar,100
Bhutan,
Philippines,59
Djibouti,
French Polynesia,
Nigeria,35
Cuba,34
Gabon,
Cambodia,30
Haiti,
Nicaragua,24
Brunei,
Congo - Brazzaville,
Myanmar (Burma),22
Togo,
Benin,
Nepal,18
Malawi,
Bangladesh,18
Belize,
Guadeloupe,
Guam,
El Salvador,16
Réunion,
Guyana,
Mongolia,
Morocco,15
Uganda,15
Paraguay,15
Pakistan,15
Venezuela,14
Bolivia,14
Tunisia,14
Azerbaijan,14
Peru,14
Guatemala,14
Türkiye,13
Panama,13
Honduras,13
Rwanda,
Botswana,
Ethiopia,
Mexico,12
Fiji,
Martinique,
Papua New Guinea,
Mauritius,
Côte d’Ivoire,
Malaysia,12
Ecuador,11
Maldives,
Trinidad & Tobago,
Georgia,11
Senegal,
India,10
Costa Rica,10
Somalia,
Singapore,10
St Helena,
Jamaica,
Cameroon,
Zambia,
Barbados,
Indonesia,9
Iraq,9
Colombia,9
Dominican Republic,8
Algeria,8
Ghana,8
Bahrain,
United Arab Emirates,8
Namibia,
Chile,7
Zimbabwe,
Sri Lanka,7
Czechia,7
Afghanistan,
Mali,
Tanzania,
Oman,
Kenya,6
Uzbekistan,6
France,6
Albania,
Turkmenistan,
Angola,
Congo - Kinshasa,
Romania,5
Qatar,
South Africa,5
Burkina Faso,
Kuwait,
Greece,5
Puerto Rico,
Sweden,5
Belgium,5
Luxembourg,
Norway,5
Moldova,
Argentina,5
Slovakia,5
Italy,5
Uruguay,
Portugal,5
Laos,
Canada,5
United States,5
Denmark,5
North Macedonia,
New Zealand,4
Poland,4
Vietnam,4
Switzerland,4
South Korea,4
Cyprus,
Bulgaria,4
Saudi Arabia,4
Libya,
Hungary,4
Germany,4
Jordan,
Finland,4
Yemen,
Lebanon,
Armenia,
Hong Kong,3
Brazil,3
Lithuania,
Australia,3
Bosnia & Herzegovina,
Austria,3
Egypt,3
China,
Serbia,
Latvia,
Netherlands,2
Mozambique,
United Kingdom,2
Spain,2
Slovenia,
Estonia,
Croatia,
Thailand,1
Ireland,
Israel,
Syria,
Kyrgyzstan,
Taiwan,<1
Iran,<1
Kazakhstan,
Ukraine,
Russia,<1
Japan,<1
Greenland,
Aruba,
Christmas Island,
Curaçao,
Cape Verde,
Comoros,
New Caledonia,
Niger,
Norfolk Island,
Cook Islands,
Montserrat,
Niue,
Mauritania,
Northern Mariana Islands,
Montenegro,
Grenada,
Dominica,
Cocos (Keeling) Islands,
Malta,
Central African Republic,
Pitcairn Islands,
Bouvet Island,
Marshall Islands,
Palau,
Bermuda,
Eritrea,
Western Sahara,
North Korea,
Monaco,
Belarus,
Palestine,
St Barthélemy,
St Martin,
Bahamas,
Macao,
Lesotho,
Liechtenstein,
St Lucia,
Sudan,
Caribbean Netherlands,
Falkland Islands (Islas Malvinas),
South Georgia & South Sandwich Islands,
Burundi,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
St Kitts & Nevis,
San Marino,
Kiribati,
St Pierre & Miquelon,
Faroe Islands,
South Sudan,
São Tomé & Príncipe,
Suriname,
Micronesia,
Jersey,
Iceland,
Eswatini,
Sint Maarten,
Seychelles,
Guernsey,
Turks & Caicos Islands,
Chad,
Antigua & Barbuda,
British Indian Ocean Territory,
Tajikistan,
Tokelau,
French Southern Territories,
Timor-Leste,
Tonga,
Antarctica,
American Samoa,
Gibraltar,
Tuvalu,
Isle of Man,
Guinea,
Andorra,
Gambia,
US Outlying Islands,
Guinea-Bissau,
Heard & McDonald Islands,
Åland Islands,
Vatican City,
St Vincent & the Grenadines,
Anguilla,
British Virgin Islands,
US Virgin Islands,
Equatorial Guinea,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
French Guiana,
Liberia,
Nauru,
Cayman Islands,
