Category: All categories

Country,k-drama: (01/04/2024 - 31/03/2025)
Madagascar,100
Bhutan,
Guyana,
Fiji,
Nigeria,43
Cuba,38
Philippines,36
Haiti,
Nicaragua,25
Myanmar (Burma),22
Nepal,21
Benin,
Cambodia,18
Bangladesh,17
Zambia,17
Venezuela,16
Pakistan,16
Paraguay,16
Trinidad & Tobago,
El Salvador,15
Malawi,
Rwanda,
Bolivia,13
Mauritius,
Jamaica,
Tunisia,13
Mexico,13
Guatemala,13
Peru,12
Ecuador,12
India,12
Azerbaijan,11
Cameroon,
St Helena,
Honduras,11
Morocco,11
Côte d’Ivoire,11
Panama,11
Ethiopia,
Laos,
Afghanistan,
Ghana,9
Türkiye,9
Costa Rica,9
Senegal,
Chile,9
Luxembourg,
Colombia,8
Uzbekistan,8
Iraq,8
Singapore,8
Malaysia,8
Georgia,8
Dominican Republic,8
Algeria,7
France,6
Kenya,6
Indonesia,6
Czechia,6
Qatar,
Angola,
United Arab Emirates,5
Sweden,5
Argentina,5
Uruguay,
Italy,5
Uganda,
South Africa,5
Romania,5
Sri Lanka,5
Oman,
Greece,5
Belgium,5
Norway,5
Moldova,
Portugal,5
Denmark,4
Switzerland,4
Puerto Rico,
Finland,4
Kuwait,
Poland,4
New Zealand,4
Slovakia,4
Canada,4
Congo - Kinshasa,
United States,4
Saudi Arabia,4
South Korea,4
Bulgaria,4
Vietnam,4
Germany,4
Brazil,3
Jordan,
Hungary,3
Australia,3
Lithuania,
Austria,3
Netherlands,2
Spain,2
Egypt,2
United Kingdom,2
Hong Kong,2
Thailand,2
Ireland,2
Israel,2
Croatia,
Serbia,
Taiwan,1
Kazakhstan,
Ukraine,<1
Iran,<1
Russia,<1
Japan,<1
Namibia,
Zimbabwe,
Congo - Brazzaville,
Cook Islands,
Kyrgyzstan,
China,
Kiribati,
St Kitts & Nevis,
Iceland,
Comoros,
British Indian Ocean Territory,
Aruba,
Lebanon,
Libya,
St Lucia,
Liechtenstein,
Cape Verde,
Lesotho,
Isle of Man,
Cocos (Keeling) Islands,
Latvia,
Macao,
St Martin,
Curaçao,
Monaco,
Christmas Island,
Central African Republic,
Maldives,
Botswana,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Bouvet Island,
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Brunei,
Barbados,
Cayman Islands,
Mayotte,
Western Sahara,
New Caledonia,
Niger,
Norfolk Island,
Bermuda,
Belize,
Niue,
Heard & McDonald Islands,
Cyprus,
Belarus,
Nauru,
Guam,
French Guiana,
St Barthélemy,
Bosnia & Herzegovina,
Pitcairn Islands,
Bahamas,
Bahrain,
Palau,
Papua New Guinea,
Greenland,
Grenada,
North Korea,
Jersey,
Guinea-Bissau,
Palestine,
French Polynesia,
Burkina Faso,
Réunion,
Gambia,
Guadeloupe,
Caribbean Netherlands,
Guinea,
Sudan,
Gibraltar,
Burundi,
South Georgia & South Sandwich Islands,
Djibouti,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Guernsey,
San Marino,
Somalia,
St Pierre & Miquelon,
Dominica,
South Sudan,
São Tomé & Príncipe,
Suriname,
Gabon,
Slovenia,
Antigua & Barbuda,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Micronesia,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
French Southern Territories,
Antarctica,
American Samoa,
Tuvalu,
Faroe Islands,
Tanzania,
Armenia,
Falkland Islands (Islas Malvinas),
US Outlying Islands,
Andorra,
Eritrea,
Albania,
Vatican City,
St Vincent & the Grenadines,
Åland Islands,
British Virgin Islands,
US Virgin Islands,
Estonia,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Anguilla,
Equatorial Guinea,
