Category: All categories

Country,learn korean: (01/11/2020 - 01/11/2025)
Solomon Islands,
Northern Mariana Islands,
Bhutan,
Myanmar (Burma),100
Nepal,98
Philippines,94
Guam,
Singapore,76
Mongolia,69
Botswana,
Brunei,
Maldives,
Belize,
Sri Lanka,55
Cambodia,50
Jamaica,47
Trinidad & Tobago,46
South Korea,46
Fiji,
St Lucia,
Timor-Leste,
Malaysia,42
Ethiopia,39
New Zealand,35
Madagascar,
Mauritius,
Pakistan,34
Barbados,
Guyana,
Nigeria,32
Somalia,
Namibia,
India,30
Bahamas,
Lesotho,
Isle of Man,
Australia,26
Bangladesh,25
United Arab Emirates,25
Zimbabwe,
South Africa,25
Qatar,25
Suriname,
United States,25
Albania,
Bahrain,
Canada,23
Georgia,22
Kenya,22
Lebanon,21
Rwanda,
Sierra Leone,
Hong Kong,19
St Helena,
Laos,
United Kingdom,18
Iceland,
Uganda,
Uzbekistan,17
Ghana,17
Macao,
Morocco,15
Ireland,15
Afghanistan,
Tunisia,15
Lithuania,15
Oman,
Kuwait,
Malawi,
Malta,
China,
North Macedonia,
Puerto Rico,
Sudan,
Papua New Guinea,
Luxembourg,
Norway,14
Tanzania,
Sweden,13
Iraq,11
Armenia,
Zambia,
Denmark,11
Libya,
Azerbaijan,
Turkmenistan,
Kosovo,
Estonia,
Finland,11
Latvia,
Romania,11
Algeria,11
Slovenia,
Greece,10
Egypt,10
Slovakia,10
Moldova,
Vietnam,9
Hungary,9
Croatia,9
Cyprus,
Netherlands,9
Belgium,9
Portugal,7
Bulgaria,7
Czechia,7
Jordan,
Syria,
Cameroon,
Bosnia & Herzegovina,
Saudi Arabia,7
Switzerland,7
Serbia,
Senegal,
Indonesia,6
Israel,6
Tajikistan,
Yemen,
Panama,
Honduras,
Palestine,
Austria,5
Dominican Republic,
Germany,5
Thailand,5
Costa Rica,
Montenegro,
Mozambique,
Kyrgyzstan,
Poland,3
Iran,3
France,3
Kazakhstan,
Côte d’Ivoire,
Nicaragua,
El Salvador,
Mexico,3
Cuba,
Taiwan,2
Peru,2
Italy,2
Chile,2
Spain,2
Guatemala,
Ecuador,
Uruguay,
Bolivia,
Türkiye,2
Russia,2
Colombia,2
Paraguay,
Japan,1
Brazil,1
Ukraine,1
Venezuela,
Argentina,1
Belarus,
Bermuda,
Mayotte,
St Barthélemy,
New Caledonia,
Niger,
Norfolk Island,
Martinique,
Montserrat,
Niue,
Mauritania,
Bouvet Island,
Mali,
Nauru,
Burkina Faso,
Marshall Islands,
Caribbean Netherlands,
Central African Republic,
Pitcairn Islands,
Cocos (Keeling) Islands,
Benin,
Palau,
Monaco,
St Martin,
Liechtenstein,
North Korea,
Angola,
Congo - Kinshasa,
Congo - Brazzaville,
French Polynesia,
Cook Islands,
Réunion,
St Kitts & Nevis,
Kiribati,
Burundi,
Comoros,
Jersey,
Cape Verde,
British Indian Ocean Territory,
South Georgia & South Sandwich Islands,
Curaçao,
Svalbard & Jan Mayen,
Antigua & Barbuda,
French Southern Territories,
Christmas Island,
San Marino,
Antarctica,
St Pierre & Miquelon,
Haiti,
South Sudan,
São Tomé & Príncipe,
American Samoa,
Heard & McDonald Islands,
Cayman Islands,
French Guiana,
Eswatini,
Sint Maarten,
Seychelles,
Greenland,
Turks & Caicos Islands,
Chad,
Togo,
Grenada,
Equatorial Guinea,
Tokelau,
Guinea-Bissau,
Gambia,
Tonga,
Guadeloupe,
Guinea,
Gibraltar,
Tuvalu,
Guernsey,
Djibouti,
Andorra,
Dominica,
US Outlying Islands,
Gabon,
Åland Islands,
Anguilla,
Vatican City,
St Vincent & the Grenadines,
Micronesia,
British Virgin Islands,
US Virgin Islands,
Faroe Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Falkland Islands (Islas Malvinas),
Western Sahara,
Liberia,
Eritrea,
Aruba,
