Category: All categories

Country,learn korean: (2021)
Bhutan,
Myanmar (Burma),100
Belize,
Philippines,82
Fiji,
Maldives,
Botswana,
Sri Lanka,51
Nepal,49
Singapore,49
Mauritius,47
Jamaica,44
Mongolia,44
Malaysia,38
Trinidad & Tobago,36
Cambodia,30
Ethiopia,29
Brunei,
India,25
South Korea,23
Bangladesh,23
Bahrain,
Qatar,20
Zimbabwe,
Pakistan,19
United Arab Emirates,18
New Zealand,18
North Macedonia,
South Africa,16
Nigeria,16
Oman,16
Lebanon,15
Uganda,
Morocco,15
Australia,13
United States,13
Canada,13
Tunisia,12
Kuwait,12
Georgia,12
Armenia,
China,
Hong Kong,12
Kenya,11
United Kingdom,10
Albania,
Ireland,10
Puerto Rico,
Estonia,
Lithuania,9
Norway,9
Latvia,
Libya,
Iraq,8
Algeria,8
Denmark,7
Romania,7
Egypt,7
Slovakia,7
Syria,
Ghana,
Slovenia,
Sweden,6
Greece,6
Saudi Arabia,6
Portugal,6
Honduras,
Uzbekistan,
Bulgaria,6
Azerbaijan,
Finland,5
Moldova,
Jordan,
Indonesia,5
Belgium,5
Netherlands,5
Croatia,
Bosnia & Herzegovina,
Czechia,4
Hungary,4
Vietnam,4
Costa Rica,
Switzerland,3
Peru,3
Serbia,
Dominican Republic,
Thailand,3
Israel,3
Mexico,3
Austria,3
Ecuador,
Germany,2
Iran,2
Poland,2
Chile,2
France,2
Japan,2
Colombia,2
Kazakhstan,
Italy,2
Spain,1
Taiwan,1
Türkiye,1
Brazil,1
Venezuela,
Argentina,<1
Ukraine,<1
Russia,<1
Laos,
Aruba,
British Indian Ocean Territory,
Isle of Man,
Haiti,
Jersey,
Heard & McDonald Islands,
Guyana,
Guam,
French Guiana,
Kyrgyzstan,
Guatemala,
Kiribati,
St Kitts & Nevis,
Greenland,
Grenada,
Equatorial Guinea,
Guinea-Bissau,
Angola,
Gambia,
St Lucia,
Liechtenstein,
Guadeloupe,
Lesotho,
Guinea,
Luxembourg,
Gibraltar,
Macao,
St Martin,
Guernsey,
Monaco,
Gabon,
Madagascar,
Micronesia,
Faroe Islands,
Marshall Islands,
Falkland Islands (Islas Malvinas),
Mali,
Malta,
Western Sahara,
Montenegro,
Eritrea,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Dominica,
Malawi,
Djibouti,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Cyprus,
Nicaragua,
Niue,
Cayman Islands,
Christmas Island,
Curaçao,
Nauru,
Cuba,
Cape Verde,
Comoros,
Panama,
Pitcairn Islands,
Cook Islands,
Congo - Brazzaville,
Palau,
Papua New Guinea,
Iceland,
Cameroon,
North Korea,
Côte d’Ivoire,
Paraguay,
Palestine,
French Polynesia,
Cocos (Keeling) Islands,
Réunion,
Central African Republic,
Bouvet Island,
Rwanda,
Barbados,
Sudan,
Senegal,
Bolivia,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St Pierre & Miquelon,
Bermuda,
South Sudan,
São Tomé & Príncipe,
Suriname,
Belarus,
St Barthélemy,
Bahamas,
Eswatini,
Sint Maarten,
Seychelles,
Burkina Faso,
Turks & Caicos Islands,
Chad,
Togo,
Caribbean Netherlands,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Benin,
Burundi,
Antigua & Barbuda,
Tuvalu,
French Southern Territories,
Tanzania,
Antarctica,
American Samoa,
US Outlying Islands,
Uruguay,
Andorra,
Åland Islands,
Vatican City,
St Vincent & the Grenadines,
Anguilla,
British Virgin Islands,
US Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Congo - Kinshasa,
