Category: All categories

Country,learn korean: (01/04/2024 - 31/03/2025)
Mongolia,100
Botswana,
Myanmar (Burma),88
Singapore,87
Nepal,82
Philippines,66
South Korea,51
Cambodia,50
Sri Lanka,40
New Zealand,38
Nigeria,37
Malaysia,35
Pakistan,33
Trinidad & Tobago,33
Laos,
Australia,32
Ethiopia,
Kenya,27
Jamaica,
United States,25
Georgia,25
United Arab Emirates,25
Luxembourg,
Canada,24
South Africa,24
Hong Kong,22
Uzbekistan,22
United Kingdom,20
China,20
Uganda,
Norway,17
Qatar,
Oman,
Lithuania,16
Finland,16
India,16
Puerto Rico,
Ghana,16
Bangladesh,16
Moldova,
Ireland,14
Tunisia,14
Vietnam,14
Slovenia,
Sweden,14
Latvia,
Iraq,12
Kuwait,
Morocco,12
Denmark,12
Bosnia & Herzegovina,
Lebanon,
Tanzania,
Greece,11
Egypt,11
Azerbaijan,
Romania,11
Bulgaria,9
Belgium,9
Netherlands,9
Algeria,9
Czechia,9
Switzerland,9
Hungary,9
Slovakia,8
Portugal,8
Saudi Arabia,6
Kazakhstan,6
Indonesia,6
Dominican Republic,
Serbia,
Austria,6
Croatia,6
Germany,6
Poland,4
Thailand,4
France,4
Italy,3
Israel,
Taiwan,3
Iran,3
Mexico,3
Spain,3
Chile,3
Ecuador,
Peru,1
Russia,1
Brazil,1
Türkiye,1
Ukraine,1
Colombia,1
Argentina,1
Venezuela,
Japan,1
Aruba,
Zimbabwe,
Guam,
Heard & McDonald Islands,
Honduras,
French Guiana,
Haiti,
Guatemala,
Greenland,
Isle of Man,
Grenada,
British Indian Ocean Territory,
Equatorial Guinea,
Guinea-Bissau,
Gambia,
Iceland,
Guadeloupe,
Guinea,
Gibraltar,
Jersey,
Jordan,
Guernsey,
Gabon,
Micronesia,
Kyrgyzstan,
Faroe Islands,
Kiribati,
St Kitts & Nevis,
Falkland Islands (Islas Malvinas),
Fiji,
Afghanistan,
Estonia,
Angola,
Libya,
St Lucia,
Liechtenstein,
Western Sahara,
Lesotho,
Eritrea,
Dominica,
Djibouti,
Macao,
St Martin,
Cyprus,
Monaco,
Cayman Islands,
Madagascar,
Maldives,
Christmas Island,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Curaçao,
Montenegro,
Cuba,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Costa Rica,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Cape Verde,
Nicaragua,
Niue,
Comoros,
Cook Islands,
Congo - Brazzaville,
Nauru,
Congo - Kinshasa,
Cameroon,
Guyana,
Panama,
Pitcairn Islands,
Cocos (Keeling) Islands,
Central African Republic,
Palau,
Papua New Guinea,
Bouvet Island,
Bhutan,
North Korea,
Brunei,
Paraguay,
Palestine,
French Polynesia,
Barbados,
Réunion,
Bolivia,
Bermuda,
Rwanda,
Belize,
Sudan,
Senegal,
Belarus,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St Pierre & Miquelon,
St Barthélemy,
South Sudan,
São Tomé & Príncipe,
Suriname,
Bahamas,
Bahrain,
Burkina Faso,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Caribbean Netherlands,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Benin,
Burundi,
Antigua & Barbuda,
Tuvalu,
French Southern Territories,
Antarctica,
American Samoa,
Armenia,
US Outlying Islands,
Uruguay,
Andorra,
Albania,
Vatican City,
St Vincent & the Grenadines,
Åland Islands,
British Virgin Islands,
US Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Côte d’Ivoire,
